"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: distribution","Param: keyRange","Param: mapType","Param: readRatio"
"benchmarks.QuickBenchmark.mixedReadWrite","thrpt",1,1,28.794876,NaN,"ops/us",uniform,10000,SynchronizedMap,0.8
"benchmarks.QuickBenchmark.mixedReadWrite","thrpt",1,1,21.779144,NaN,"ops/us",uniform,10000,SynchronizedMap,0.2
"benchmarks.QuickBenchmark.mixedReadWrite","thrpt",1,1,28.834712,NaN,"ops/us",uniform,10000,StripedMap,0.8
"benchmarks.QuickBenchmark.mixedReadWrite","thrpt",1,1,19.976285,NaN,"ops/us",uniform,10000,StripedMap,0.2
"benchmarks.QuickBenchmark.mixedReadWrite","thrpt",1,1,12.137775,NaN,"ops/us",uniform,10000,HashTrieMap,0.8
"benchmarks.QuickBenchmark.mixedReadWrite","thrpt",1,1,6.164268,NaN,"ops/us",uniform,10000,HashTrieMap,0.2
"benchmarks.QuickBenchmark.mixedReadWrite","thrpt",1,1,30.773078,NaN,"ops/us",uniform,10000,WrapConcurrentHashMap,0.8
"benchmarks.QuickBenchmark.mixedReadWrite","thrpt",1,1,19.892129,NaN,"ops/us",uniform,10000,WrapConcurrentHashMap,0.2
"benchmarks.QuickBenchmark.mixedReadWrite","thrpt",1,1,26.421522,NaN,"ops/us",zipfian_0.99,10000,SynchronizedMap,0.8
"benchmarks.QuickBenchmark.mixedReadWrite","thrpt",1,1,19.212293,NaN,"ops/us",zipfian_0.99,10000,SynchronizedMap,0.2
"benchmarks.QuickBenchmark.mixedReadWrite","thrpt",1,1,26.984857,NaN,"ops/us",zipfian_0.99,10000,StripedMap,0.8
"benchmarks.QuickBenchmark.mixedReadWrite","thrpt",1,1,16.989305,NaN,"ops/us",zipfian_0.99,10000,StripedMap,0.2
"benchmarks.QuickBenchmark.mixedReadWrite","thrpt",1,1,19.062548,NaN,"ops/us",zipfian_0.99,10000,HashTrieMap,0.8
"benchmarks.QuickBenchmark.mixedReadWrite","thrpt",1,1,10.813128,NaN,"ops/us",zipfian_0.99,10000,HashTrieMap,0.2
"benchmarks.QuickBenchmark.mixedReadWrite","thrpt",1,1,30.812111,NaN,"ops/us",zipfian_0.99,10000,WrapConcurrentHashMap,0.8
"benchmarks.QuickBenchmark.mixedReadWrite","thrpt",1,1,19.454500,NaN,"ops/us",zipfian_0.99,10000,WrapConcurrentHashMap,0.2
"benchmarks.QuickBenchmark.mixedReadWrite","avgt",1,1,0.045881,NaN,"us/op",uniform,10000,SynchronizedMap,0.8
"benchmarks.QuickBenchmark.mixedReadWrite","avgt",1,1,0.064684,NaN,"us/op",uniform,10000,SynchronizedMap,0.2
"benchmarks.QuickBenchmark.mixedReadWrite","avgt",1,1,0.045534,NaN,"us/op",uniform,10000,StripedMap,0.8
"benchmarks.QuickBenchmark.mixedReadWrite","avgt",1,1,0.061663,NaN,"us/op",uniform,10000,StripedMap,0.2
"benchmarks.QuickBenchmark.mixedReadWrite","avgt",1,1,0.070785,NaN,"us/op",uniform,10000,HashTrieMap,0.8
"benchmarks.QuickBenchmark.mixedReadWrite","avgt",1,1,0.100410,NaN,"us/op",uniform,10000,HashTrieMap,0.2
"benchmarks.QuickBenchmark.mixedReadWrite","avgt",1,1,0.028409,NaN,"us/op",uniform,10000,WrapConcurrentHashMap,0.8
"benchmarks.QuickBenchmark.mixedReadWrite","avgt",1,1,0.051279,NaN,"us/op",uniform,10000,WrapConcurrentHashMap,0.2
"benchmarks.QuickBenchmark.mixedReadWrite","avgt",1,1,0.036175,NaN,"us/op",zipfian_0.99,10000,SynchronizedMap,0.8
"benchmarks.QuickBenchmark.mixedReadWrite","avgt",1,1,0.052196,NaN,"us/op",zipfian_0.99,10000,SynchronizedMap,0.2
"benchmarks.QuickBenchmark.mixedReadWrite","avgt",1,1,0.038261,NaN,"us/op",zipfian_0.99,10000,StripedMap,0.8
"benchmarks.QuickBenchmark.mixedReadWrite","avgt",1,1,0.054025,NaN,"us/op",zipfian_0.99,10000,StripedMap,0.2
"benchmarks.QuickBenchmark.mixedReadWrite","avgt",1,1,0.059317,NaN,"us/op",zipfian_0.99,10000,HashTrieMap,0.8
"benchmarks.QuickBenchmark.mixedReadWrite","avgt",1,1,0.104252,NaN,"us/op",zipfian_0.99,10000,HashTrieMap,0.2
"benchmarks.QuickBenchmark.mixedReadWrite","avgt",1,1,0.037900,NaN,"us/op",zipfian_0.99,10000,WrapConcurrentHashMap,0.8
"benchmarks.QuickBenchmark.mixedReadWrite","avgt",1,1,0.057447,NaN,"us/op",zipfian_0.99,10000,WrapConcurrentHashMap,0.2
