"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: distribution","Param: keyRange","Param: mapType","Param: readRatio"
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,4975208.595041,22578.235740,"ops/s",uniform,1000,SynchronizedMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,4335795.811190,51873.597433,"ops/s",uniform,1000,SynchronizedMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,4090220.639438,55176.296334,"ops/s",uniform,1000,SynchronizedMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,29881574.869449,3575762.883255,"ops/s",uniform,1000,StripedMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,28931216.991785,117855.781075,"ops/s",uniform,1000,StripedMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,22992774.475024,1921268.618032,"ops/s",uniform,1000,StripedMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,23591056.046844,1637130.283603,"ops/s",uniform,1000,StripedMapPadded,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,29805805.565975,62726.178744,"ops/s",uniform,1000,StripedMapPadded,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,26723493.137240,75559.687235,"ops/s",uniform,1000,StripedMapPadded,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,41985567.707037,11311356.929512,"ops/s",uniform,1000,StripedWriteMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,31486968.913902,265758.254070,"ops/s",uniform,1000,StripedWriteMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,23602496.598049,614360.790988,"ops/s",uniform,1000,StripedWriteMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,58174916.970695,258678.174211,"ops/s",uniform,1000,StripedWriteMapPadded,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,33635256.782183,161562.003377,"ops/s",uniform,1000,StripedWriteMapPadded,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,25544692.765725,85148.901210,"ops/s",uniform,1000,StripedWriteMapPadded,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,52973930.667663,1840566.249675,"ops/s",uniform,1000,StripedLevelWriteMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,31623991.093096,138792.853092,"ops/s",uniform,1000,StripedLevelWriteMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,22861503.942778,1097394.161750,"ops/s",uniform,1000,StripedLevelWriteMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,40170721.966444,106743.667528,"ops/s",uniform,1000,HashTrieMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,25939051.277891,56875.681955,"ops/s",uniform,1000,HashTrieMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,19110239.871005,595413.765054,"ops/s",uniform,1000,HashTrieMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,67662616.794652,156971.603259,"ops/s",uniform,1000,WrapConcurrentHashMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,39133839.114445,60293.354346,"ops/s",uniform,1000,WrapConcurrentHashMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",4,20,30224112.450554,189558.385537,"ops/s",uniform,1000,WrapConcurrentHashMap,0.2
