"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: distribution","Param: keyRange","Param: mapType","Param: readRatio"
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,13323931.333780,261144.166474,"ops/s",uniform,1000,SynchronizedMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,12086021.459663,287834.241290,"ops/s",uniform,1000,SynchronizedMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,10888424.125615,241469.890364,"ops/s",uniform,1000,SynchronizedMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,48178724.151914,1320261.519586,"ops/s",uniform,1000,StripedMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,38428726.806289,1715738.651660,"ops/s",uniform,1000,StripedMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,28504135.742422,1331733.460358,"ops/s",uniform,1000,StripedMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,50415719.722441,1007459.370157,"ops/s",uniform,1000,StripedMapPadded,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,43878111.906957,1469545.805561,"ops/s",uniform,1000,StripedMapPadded,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,34635632.208094,111803.473818,"ops/s",uniform,1000,StripedMapPadded,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,61131789.488905,5037130.682719,"ops/s",uniform,1000,StripedWriteMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,34104582.833496,625996.332137,"ops/s",uniform,1000,StripedWriteMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,25708355.410870,1389093.777202,"ops/s",uniform,1000,StripedWriteMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,99711344.437716,15850971.925046,"ops/s",uniform,1000,StripedWriteMapPadded,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,49370202.001202,194733.990075,"ops/s",uniform,1000,StripedWriteMapPadded,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,33996189.415044,2445665.554121,"ops/s",uniform,1000,StripedWriteMapPadded,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,108699001.456518,3708107.645303,"ops/s",uniform,1000,StripedLevelWriteMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,48615971.742227,1654229.403066,"ops/s",uniform,1000,StripedLevelWriteMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,34947434.597384,485530.454185,"ops/s",uniform,1000,StripedLevelWriteMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,141093568.854037,5583613.790498,"ops/s",uniform,1000,HashTrieMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,80992770.034909,1439690.241229,"ops/s",uniform,1000,HashTrieMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,59387916.501876,2182698.381391,"ops/s",uniform,1000,HashTrieMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,211020014.117978,26230504.736204,"ops/s",uniform,1000,WrapConcurrentHashMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,106002594.465980,2734110.064012,"ops/s",uniform,1000,WrapConcurrentHashMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,98570698.091899,1092022.010334,"ops/s",uniform,1000,WrapConcurrentHashMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,4344846.267900,210206.085060,"ops/s",uniform,1000000,SynchronizedMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,4202097.799407,157490.026300,"ops/s",uniform,1000000,SynchronizedMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,4021458.190673,155307.122944,"ops/s",uniform,1000000,SynchronizedMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,44187763.132972,1364159.642098,"ops/s",uniform,1000000,StripedMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,39194378.694397,233002.946864,"ops/s",uniform,1000000,StripedMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,29364755.751097,1194530.769688,"ops/s",uniform,1000000,StripedMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,43431329.029321,384458.034779,"ops/s",uniform,1000000,StripedMapPadded,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,45545444.780026,924102.504426,"ops/s",uniform,1000000,StripedMapPadded,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,42468805.037498,835544.529521,"ops/s",uniform,1000000,StripedMapPadded,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,64911235.286902,1191873.770745,"ops/s",uniform,1000000,StripedWriteMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,33889056.966792,207436.603060,"ops/s",uniform,1000000,StripedWriteMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,23747736.901588,103305.392656,"ops/s",uniform,1000000,StripedWriteMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,107439167.402254,2114382.964668,"ops/s",uniform,1000000,StripedWriteMapPadded,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,51594855.719927,328467.265845,"ops/s",uniform,1000000,StripedWriteMapPadded,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,36888131.072081,757168.509601,"ops/s",uniform,1000000,StripedWriteMapPadded,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,105770986.154407,781261.888164,"ops/s",uniform,1000000,StripedLevelWriteMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,53257695.423654,936964.548824,"ops/s",uniform,1000000,StripedLevelWriteMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,38899546.628192,342518.839112,"ops/s",uniform,1000000,StripedLevelWriteMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,62307782.542991,1254412.080858,"ops/s",uniform,1000000,HashTrieMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,47584502.780327,811646.589653,"ops/s",uniform,1000000,HashTrieMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,39533864.161473,693650.295138,"ops/s",uniform,1000000,HashTrieMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,225591983.215314,4525253.965949,"ops/s",uniform,1000000,WrapConcurrentHashMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,160743155.850878,1707632.162529,"ops/s",uniform,1000000,WrapConcurrentHashMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,117813846.172639,1749807.448308,"ops/s",uniform,1000000,WrapConcurrentHashMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,13260034.377740,475474.349086,"ops/s",zipfian_0.5,1000,SynchronizedMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,12055056.761510,584515.134922,"ops/s",zipfian_0.5,1000,SynchronizedMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,11506428.807182,204349.658948,"ops/s",zipfian_0.5,1000,SynchronizedMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,42260630.075429,1032882.265730,"ops/s",zipfian_0.5,1000,StripedMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,33792329.880644,1009093.613783,"ops/s",zipfian_0.5,1000,StripedMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,27767509.037072,1151631.333648,"ops/s",zipfian_0.5,1000,StripedMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,43272048.816128,373647.516551,"ops/s",zipfian_0.5,1000,StripedMapPadded,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,35970469.384794,1119182.554901,"ops/s",zipfian_0.5,1000,StripedMapPadded,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,32155049.904165,1246372.658442,"ops/s",zipfian_0.5,1000,StripedMapPadded,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,61628052.977379,3824473.026222,"ops/s",zipfian_0.5,1000,StripedWriteMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,32818648.919765,1017729.138049,"ops/s",zipfian_0.5,1000,StripedWriteMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,23692860.831559,1177201.409242,"ops/s",zipfian_0.5,1000,StripedWriteMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,74035620.685688,5420222.676953,"ops/s",zipfian_0.5,1000,StripedWriteMapPadded,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,42438770.377545,1415049.655248,"ops/s",zipfian_0.5,1000,StripedWriteMapPadded,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,28167658.174218,904929.840255,"ops/s",zipfian_0.5,1000,StripedWriteMapPadded,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,82707963.366071,6210422.100982,"ops/s",zipfian_0.5,1000,StripedLevelWriteMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,42811879.543270,1997146.177929,"ops/s",zipfian_0.5,1000,StripedLevelWriteMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,30269428.987010,2260112.217798,"ops/s",zipfian_0.5,1000,StripedLevelWriteMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,126003656.165183,10268839.013829,"ops/s",zipfian_0.5,1000,HashTrieMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,83779755.176096,2358218.391033,"ops/s",zipfian_0.5,1000,HashTrieMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,61848796.550397,1176905.781655,"ops/s",zipfian_0.5,1000,HashTrieMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,175552223.623391,21159213.603653,"ops/s",zipfian_0.5,1000,WrapConcurrentHashMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,107244055.259474,12616383.848467,"ops/s",zipfian_0.5,1000,WrapConcurrentHashMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,68895355.633318,5367152.864654,"ops/s",zipfian_0.5,1000,WrapConcurrentHashMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,4435300.554428,172942.905706,"ops/s",zipfian_0.5,1000000,SynchronizedMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,4047394.266947,176322.609823,"ops/s",zipfian_0.5,1000000,SynchronizedMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,3920781.473000,167064.969919,"ops/s",zipfian_0.5,1000000,SynchronizedMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,43765294.591130,1241104.955487,"ops/s",zipfian_0.5,1000000,StripedMap,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,37263525.712139,850860.143621,"ops/s",zipfian_0.5,1000000,StripedMap,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,28863500.842288,1359039.034873,"ops/s",zipfian_0.5,1000000,StripedMap,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,43183694.775048,353428.113445,"ops/s",zipfian_0.5,1000000,StripedMapPadded,0.8
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,45195392.700052,695893.675654,"ops/s",zipfian_0.5,1000000,StripedMapPadded,0.5
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,40116601.353591,238035.751767,"ops/s",zipfian_0.5,1000000,StripedMapPadded,0.2
"benchmarks.HashMapBenchmark.mixedReadWrite","thrpt",64,20,63057728.745240,1192696.069211,"ops/s",zipfian_0.5,1000000,StripedWriteMap,0.8
